Town,County,Link,Latitude,Longitude
Acle,Norfolk,acle.html,52.63681336328268,1.5475702285766602
Binham,Norfolk,binham.html,52.91719921414733,0.9481649774839672
Carleton Rode,Norfolk,carletonrode.html,52.491615295410156,1.1071408987045288
Garboldisham,Norfolk,garboldisham.html,52.3953488559275,0.946798324584961
Gaywood,Norfolk,gaywood.html,52.75729262765675,0.41723778959610713
Hindringham,Norfolk,hindringham.html,52.88725965950902,0.946197509765625
Paston,Norfolk,paston.html,52.85,1.45
Terrington St. Clement,Norfolk,terrington.html,52.75,0.3
Wiveton,Norfolk,wiveton.html,52.94344648428207,1.0388525150943533
Bulmer,Essex,bulmerfw.html,52.02329063415527,0.6839666664600372
Bures Common,Essex,burescommon.html,,
Clavering,Essex,clavering.html,51.9727668762207,0.1371605210006237
Little Hallingbury,Essex,littlehallingbury.html,51.83323656951473,0.1815050521786696
Manuden,Essex,manuden.html,51.9189145874287,0.167198181152344
Mount Bures,Essex,mountbures.html,51.9599152755958,0.7731087464886914
Thorrington,Essex,thorrington.html,51.83763313293457,1.0380919575691223
West Mersea,Essex,westmersea.html,51.7779839548439,0.918731689453125
Writtle,Essex,writtle.html,51.729061645031976,0.4293787479400635
Castleton,Derbyshire,castleton.html,53.3431217640342,-1.77506446838379
Castor,Cambridgeshire,castor.html,,
Cottenham,Cambridgeshire,cottenham.html,52.2874300493577,0.125398635864258
Girton,Cambridgeshire,girton.html,52.2333333,0.0833333
Great Shelford,Cambridgeshire,greatshelford.html,52.1503440276609,0.136213302612305
Houghton and Wyton,Cambridgeshire,houghtonandwyton.html,52.33758354187012,-0.12153111770749092
Isleham,Cambridgeshire,isleham.html,52.3428906353076,0.412116050720215
Peakirk,Cambridgeshire,peakirk.html,,
Ramsey,Cambridgeshire,ramsey.html,52.4481632919635,-0.107030868530273
Swaffham Bulbeck,Cambridgeshire,swaffham.html,52.2382077165249,0.276975631713867
Thorney,Cambridgeshire,thorney.html,,
Ufford,Cambridgeshire,ufford.html,,
Willingham,Cambridgeshire,willingham.html,52.323740005493164,0.07546703889966011
Wisbech St. Mary,Cambridgeshire,wisbech.html,52.6521765262787,0.0976753234863281
Smarden,Kent,smarden.html,51.14920179999361,0.6874179840087891
Potton,Bedfordshire,potton.html,52.13053512573242,-0.1999029517173767
Sharnbrook,Bedfordshire,sharnbrook.html,,
Shefford,Bedfordshire,shefford.html,52.038695042642715,-0.33399241092595444
Bramford,Suffolk,bramford.html,52.0763145907258,1.09687328338623
Brundon,Suffolk,brundonfw.html,,
Bures,Suffolk,buresfw.html,51.9724033257105,0.774879455566406
Chediston,Suffolk,chediston.html,52.3481340178697,1.46152496337891
Clare,Suffolk,clare.html,52.0624121388445,0.538330078125
Coddenham,Suffolk,coddenham.html,52.145524920189,1.11704349517822
Hessett,Suffolk,hessett.html,52.2179671190226,0.832643508911133
Ipswich,Suffolk,ipswich.html,52.059166731021925,1.1554527282714844
Long Melford,Suffolk,longmelford.html,52.0748111187329,0.716385841369629
Mount Bures,Suffolk,mountbures.html,,
Nayland,Suffolk,nayland.html,51.9833333,0.9
Rougham,Suffolk,rougham.html,52.224224288993966,0.8016586303710938
Kibworth,Leicestershire,kibworth.html,52.54438975650971,-0.9949102128865078
